kanji,heisigId,heisigKeyword,heisigCollisions,jpdbKeyword,jpdbCollisions
村,221,town,町,village,町
相,222,inter-,,towards each other,
机,223,desk,,wooden desk,
本,224,book,,book,
札,225,tag,,note,
暦,226,calendar,,calendar,
案,227,plan,策,proposal,提
燥,228,parch,,dried up,
未,229,not yet,,not yet,
末,230,extremity,極,end part,
昧,231,obscure,,vague,漠
沫,232,splash,,splash,
味,233,flavor,,flavor,
妹,234,younger sister,,younger sister,
朱,235,vermilion,,deep red,紅
株,236,stocks,,stocks,
若,237,young,,young,
草,238,grass,,grass,
苦,239,suffering,,suffering,
苛,240,bullying,,bullying,
寛,241,tolerant,,lenient,
薄,242,dilute,希,thin in volume,
葉,243,leaf,,leaf,
模,244,imitation,擬,look like something,
漠,245,vague,昧,boundless,
墓,246,grave,,grave,
暮,247,livelihood,,day-to-day life,
膜,248,membrane,,membrane,
苗,249,seedling,,seedling,
兆,250,portent,,omen,
桃,251,peach tree,,peach,
眺,252,stare,,stare at,
犬,253,dog,,dog,
状,254,status quo,,condition,
黙,255,silence,,shut up,
然,256,sort of thing,,sort of thing,
荻,257,reed,,silvergrass,
狩,258,hunt,,hunt,
猫,259,cat,,cat,
牛,260,cow,,cow,
特,261,special,,special,
告,262,revelation,啓,reveal,
先,263,before,,before (timewise),
洗,264,wash,,wash,
介,265,jammed in,,mediate,媒
界,266,world,世,realm,
茶,267,tea,,tea,
脊,268,spinal column,,backbone,
合,269,fit,適,come together,
塔,270,pagoda,刹,tower,閣
王,271,king,,king,
玉,272,jewel,,ball,球
宝,273,treasure,,treasure,
珠,274,pearl,,pearl,
現,275,present,贈,right now,
玩,276,toy,,toy,
狂,277,lunatic,,insane,
旺,278,effulgent,,full of vigor,
皇,279,emperor,帝,imperial,
呈,280,display,,to present,
全,281,whole,,whole,
栓,282,plug,,plug,
理,283,logic,,logic,
主,284,lord,,(one's) master,
注,285,pour,,pour,
柱,286,pillar,,pillar,
金,287,gold,,gold,
銑,288,pig iron,,pig iron,
鉢,289,bowl,,bowl,
銅,290,copper,,copper,
釣,291,angling,角,fishing,魚 漁
針,292,needle,,needle,
銘,293,inscription,,engraved inscription,
鎮,294,tranquillize,,calm down,
道,295,road-way,,roadway,
導,296,guidance,,to guide,
辻,297,crossing,,street corner,
迅,298,swift,,swift,
造,299,create,,create,
迫,300,urge,促,draw very near,
逃,301,escape,,escape,
辺,302,environs,,local area,
巡,303,patrol,,go around,
車,304,car,,vehicle,
連,305,take along,,take along,
軌,306,rut,,tracks,跡
輸,307,transport,,transport (in or out),
喩,308,metaphor,,metaphor,
前,309,in front,,in front of,
煎,310,roast,焼,dry-roasted,
各,311,each,,each,
格,312,status,,status,
賂,313,graft,,bribe,賄
略,314,abbreviation,,outline,概
客,315,guest,,guest,
額,316,forehead,,amount of money,
夏,317,summer,,summer,
処,318,dispose,,dispose of,
条,319,twig,,clause,
落,320,fall,隕,fall down,
冗,321,superfluous,,superfluous,
冥,322,Hades,,realm of the dead,
軍,323,army,,army,
輝,324,radiance,,shine,昭
運,325,carry,,carry,
冠,326,crown,,crown,
夢,327,dream,,dream,
坑,328,pit,,pit,
高,329,tall,,high,陛
享,330,receive,受,receive naturally,
塾,331,cram school,,cram school,
熟,332,mellow,,mature,
亭,333,pavilion,,establishment,設
京,334,capital,,capital,
涼,335,refreshing,爽,refreshing coolness,
景,336,scenery,,scenery,
鯨,337,whale,,whale,
舎,338,cottage,,building,建
周,339,circumference,,circumference,
週,340,week,,week,
士,341,gentleman,紳,professional,
吉,342,good luck,,good luck,
壮,343,robust,,robust,
荘,344,villa,,villa,
売,345,sell,,sell,
学,346,study,,study,
覚,347,memorize,,awareness,
栄,348,flourish,,flourish,
書,349,write,,write,
津,350,haven,,harborside,
牧,351,breed,,flock,群
攻,352,aggression,,attack,襲
敗,353,failure,,defeated,負
枚,354,a sheet of,,a sheet of,
故,355,happenstance,,past,去 糊
敬,356,awe,,respect,謹 恭
言,357,say,,say,
警,358,admonish,,to police (something),
計,359,plot,,measure,寸
詮,360,elucidate,,be worthwhile,
獄,361,prison,囚,prison,囚
訂,362,revise,,revise,
訃,363,obituary,,news of someone's death,
討,364,chastise,,attack to kill,
訓,365,instruction,,instruct,
詔,366,imperial edict,,imperial edict,
詰,367,packed,,packed with,
話,368,tale,,to speak,
詠,369,recitation,,compose a poem,
詩,370,poem,,poem,
語,371,word,,language,
読,372,read,,read,
調,373,tune,,tone,
談,374,discuss,,conversation,
諾,375,consent,,consent,
諭,376,rebuke,,rebuke,
式,377,style,粋,ceremony,儀
試,378,test,,test,
弐,379,II (two),,two (formal),
域,380,range,,region,
賊,381,burglar,,bandit,
栽,382,plantation,,cultivate (a plant),
載,383,load,,appear in print,
茂,384,overgrown,,overgrown,
戚,385,relatives,,family relative,
成,386,turn into,,become,
城,387,castle,,castle,
誠,388,sincerity,懇,sincerity,懇
威,389,intimidate,嚇,terrifying authority,
滅,390,destroy,,perish,
減,391,dwindle,,reduction,
蔑,392,revile,,scorn,侮
桟,393,scaffold,,wooden crosspiece,
銭,394,coin,,coin,
浅,395,shallow,,shallow,
止,396,stop,,stop,
歩,397,walk,,walk,
渉,398,ford,,cross a river on foot,
頻,399,repeatedly,,repeatedly,
肯,400,agreement,,positive agreement,
企,401,undertake,,scheme,策
歴,402,curriculum,,chronicle,紀
武,403,warrior,,military,
賦,404,levy,,levy,
正,405,correct,,correct,
証,406,evidence,,proof,
政,407,politics,礼 諄,politics,礼 諄
定,408,determine,,define,
錠,409,lock,,a lock,
走,410,run,,run,
超,411,transcend,,exceed,頗
赴,412,proceed,,proceed,
越,413,surpass,,go beyond,
是,414,just so,,go with,
題,415,topic,,topic,
堤,416,dike,,embankment,
建,417,build,舎,build,舎
鍵,418,key,,key,
延,419,prolong,,prolong,
誕,420,nativity,,birth,
礎,421,cornerstone,,cornerstone,
婿,422,bridegroom,,bridegroom,
衣,423,garment,,garment,
裁,424,tailor,,to judge,
装,425,attire,,outfit,
裏,426,back,,backside,
壊,427,demolition,,break,毀
哀,428,pathetic,,pitiful,惜
遠,429,distant,悠,far,
猿,430,monkey,,monkey,
初,431,first time,,first time,
巾,432,towel,,piece of fabric,
布,433,linen,,cloth,服
帆,434,sail,,sail,
幅,435,hanging scroll,,width,
帽,436,cap,,hat,
幕,437,curtain,,curtain,
幌,438,canopy,,canopy,
錦,439,brocade,,beautifully embroidered,
市,440,market,販,city,
柿,441,persimmon,,persimmon,
姉,442,elder sister,,older sister,
肺,443,lungs,,lung,
帯,444,sash,,belt,
滞,445,stagnate,淀,stay in one place,
刺,446,thorn,,stab,突
制,447,system,,control,轄
製,448,made in...,,manufactured,
転,449,revolve,,roll around,
芸,450,technique,術,art,術
雨,451,rain,,rain,
雲,452,cloud,,cloud,
曇,453,cloudy weather,,get cloudy,
雷,454,thunder,,thunder,
霜,455,frost,,frost,
冬,456,winter,,winter,
天,457,heavens,,heaven,
妖,458,bewitched,,supernatural allure,
沃,459,irrigate,,irrigate,
橋,460,bridge,,bridge,
嬌,461,attractive,惹,charming,魅
立,462,stand up,,standing up,
泣,463,cry,,cry,
章,464,badge,,chapter,課
競,465,vie,,compete,
帝,466,sovereign,,emperor,皇
諦,467,renunciation,,give up,
童,468,juvenile,,preteen,
瞳,469,pupil,,pupil (of eye),
鐘,470,bell,鈴,large bell,
商,471,make a deal,,make a deal,
嫡,472,legitimate wife,,legitimate wife,
適,473,suitable,妥,fitting,合
滴,474,drip,,drip,
敵,475,enemy,,enemy,
匕,476,spoon,,spoon,
叱,477,scold,,scold,
匂,478,aroma,,scent,
頃,479,about that time,,around that time,
北,480,north,,north,
背,481,stature,,back of the body,
比,482,compare,如,compare (things of the same type),
昆,483,descendants,降,descendants,降
皆,484,all,,all,
楷,485,block letters,,block letters,
諧,486,orderliness,,orderliness,
混,487,mix,,mix,
渇,488,thirst,,thirst,
謁,489,audience,,audience,
褐,490,brown,,brown,
喝,491,hoarse,,hoarse,
葛,492,kudzu,,kudzu (a type of plant),
旨,493,delicious,,tasty,
脂,494,fat,,fat,
詣,495,visit a shrine,,visit a shrine,
壱,496,I (one),,one (formal),
毎,497,every,,every,
敏,498,cleverness,賢,quick-witted,
梅,499,plum,李,Japanese plum,
海,500,sea,,sea,
乞,501,beg,,beg,
乾,502,drought,,dry,干
腹,503,abdomen,,belly,
複,504,duplicate,,multiple,
欠,505,lack,,lack of,
吹,506,blow,,blow,
炊,507,cook,,cook,
歌,508,song,,song,
軟,509,soft,,soft (consistency),
次,510,next,,next,
茨,511,briar,,wild rose,
資,512,assets,,resources,
姿,513,figure,,figure,
諮,514,consult with,,consult with,
賠,515,compensation,,compensation,
培,516,cultivate,,cultivate (an organism),
剖,517,divide,割,divide,割
音,518,sound,,sound,
暗,519,darkness,,dark,
韻,520,rhyme,,rhyme,
識,521,discriminating,,be conscious of,
鏡,522,mirror,,mirror,
境,523,boundary,端,border,
亡,524,deceased,,deceased,
盲,525,blind,,blind,
妄,526,delusion,,reckless,
荒,527,laid waste,,wild,
望,528,ambition,,hope,希
方,529,direction,向,way,
妨,530,disturb,,obstruct,障
坊,531,boy,,boy,
芳,532,perfumed,,sweet smelling,
肪,533,obese,,obese,
訪,534,call on,,formal visit,
放,535,set free,,release,
激,536,violent,烈,intense,
脱,537,undress,,detach,離
説,538,explanation,釈,theory,
鋭,539,pointed,点,sharp,冴
曽,540,formerly,,great (grandparent or grandchild),
増,541,increase,,increase,
贈,542,presents,現,gift,
東,543,east,,east,
棟,544,ridgepole,,main pillar,
凍,545,frozen,,frozen,
妊,546,pregnancy,,get pregnant,
廷,547,courts,,court,
染,548,dye,,dye,
燃,549,burn,,burn,
賓,550,V.I.P.,,visitor,
歳,551,year-end,,years old,
県,552,prefecture,,prefecture,
栃,553,horse chestnut,,horse chestnut,
地,554,ground,,ground,
池,555,pond,,pond,
虫,556,insect,,insect,
蛍,557,lightning bug,,firefly,
蛇,558,snake,,snake,
虹,559,rainbow,,rainbow,
蝶,560,butterfly,,butterfly,
独,561,single,単,alone,
蚕,562,silkworm,,silkworm,
風,563,wind,繰,wind,繰
己,564,self,自,oneself,自
起,565,rouse,,to occur,
妃,566,queen,,wife of a ruler,
改,567,reformation,,reform,
記,568,scribe,,regularly record,
